Artist,Genres
AC/DC,Rock
AC/DC,Soundtrack
Adam DeVine,Soundtrack
Alicia Morton,Soundtrack
Andrew Lloyd Webber,Soundtrack
Avicii,Dance
Barenaked Ladies,Alternative & Punk
Bastille,Alternative
Becky G,Pop
Ben Schuller,Singer/Songwriter
Billy Bragg,Alternative & Punk
Billy Idol,Soundtrack
Blue Rodeo,Country
Blue Rodeo,Folk
Blue Rodeo,Rock
Blues Traveler,Blues
Bob Dylan,Folk
Bob Dylan,Singer/Songwriter
C+C Music Factory,Pop
Canticum Karaoke,Pop
Carly Rae Jepsen,Pop
Carole Shelley & Idina Menzel,Soundtrack
Christophe Beck,Soundtrack
Christophe Beck & Frode Fjellheim,Soundtrack
Christopher Fitzgerald,Soundtrack
Counting Crows,Rock
Creedence Clearwater Revival,Rock
Culture Club,Soundtrack
Das Sound Machine,Soundtrack
"Das Sound Machine, Tone Hangers, The Treblemakers & Green Bay Packers",Soundtrack
David Bowie,Soundtrack
Daya,Pop
Demi Lovato,Pop
Demi Lovato,Soundtrack
DNCE,Pop
Ed Sheeran,Singer/Songwriter
Elizabeth Banks & John Michael Higgins,Soundtrack
Elvis Costello,Soundtrack
Eric Clapton,Rock
Ester Dean,Soundtrack
Fall Out Boy,Soundtrack
Fifth Harmony,Pop
George Ezra,Pop
George Ezra,Singer/Songwriter
Glee Cast,Pop
Gordon Lightfoot,Rock
Gordon Lightfoot,Follk
Hedley,Pop
Idina Menzel,Soundtrack
Idina Menzel & Leo Norbert Butz,Soundtrack
Jack Johnson,Rock
Jack Johnson,Soundtrack
James,Alternative & Punk
Jamiroquai,Rock
Jessie J,Soundtrack
Jim Cuddy,Rock
Joel Grey,Soundtrack
Joel Grey & Idina Menzel,Soundtrack
John Bayless,Classical
John Lennon,Pop
Joni Mitchell,Rock
Journey,Rock
Julia's Theme,Soundtrack
Katy Perry,Pop
Keb' Mo',Blues
Kelly Clarkson,Pop
Kristin Chenoweth,Soundtrack
Kristin Chenoweth & Carole Shelley,Soundtrack
Kristin Chenoweth & Idina Menzel,Soundtrack
"Kristin Chenoweth, Sean McCourt, Cristy Candler & Jan Neuberger",Soundtrack
Love Collection Band,Pop
Lukas Graham,Pop
LunchMoney Lewis,Pop
Major Lazer,Electronic
Mark Mothersbaugh,Soundtrack
Mark Ronson,Pop
Marvin Gaye,R&B
Math and Physics Club,Alternative
MIKA & Ariana Grande,Pop
Miles Davis,Blues
Miley Cyrus,Pop
Muddy Waters,Blues
Musical Youth,Soundtrack
Neil Young,Rock
Neil Young,Folk
New Order,Soundtrack
Nigel Kennedy,Classical
"Norbert Leo Butz, Kristin Chenoweth, Christopher Fitzgerald, Michelle Federer & Idina Menzel",Soundtrack
Omi,Dance
One Direction,Pop
Parry Gripp,Children's Music
Paul Simon,Rock
"Pentatonix, The Filharmonic, The Castasticos, The Singboks & Penn Masala",Soundtrack
Pharrell Williams,Pop
Pitbull,Pop
PSY,Pop
Queen,Rock
Quvenzhane Wallis,Soundtrack
R. City,Pop
R.E.M.,Alternative & Punk
Rachel Platten,Pop
Rebel Wilson & Adam DeVine,Soundtrack
Robin Schulz,Dance
Ruth B.,Singer/Songwriter
Selena Gomez,Pop
Shawn Mendes,Pop
Shawn Mendes & Camila Cabello,Pop
Sia,Pop
Silento,Hip Hop/Rap
Snoop Dogg & Anna Kendrick,Soundtrack
Spice Girls,Britpop
Steve Miller Band,Rock
Stompin' Tom Connors,Country
Sure Shot Kid,Rock
Survivor,Rock
Taylor Swift,Country
Taylor Swift,Pop
Taylor Swift,Pop
The Barden Bellas,Soundtrack
The Beatles,Rock
The Black Eyed Peas,Pop
The Cast of Frozen,Soundtrack
The City of Prague Philharmonic Orchestra,Soundtrack
The Lumineers,Singer/Songwriter
The Police,Soundtrack
The Presidents of the United States of America,Alternative
The Presidents Of The United States Of America,Soundtrack
The Proclaimers,Rock
The Psychedelic Furs,Soundtrack
The Rolling Stones,Rock
The Smiths,Soundtrack
The Thompson Twins,Soundtrack
The Tragically Hip,Alternative & Punk
The Tragically Hip,Rock
The Treblemakers,Soundtrack
Tracy Chapman,Singer/Songwriter
U2,Rock
Vance Joy,Alternative
Walk the Moon,Alternative
